Designator,Mid X,Mid Y,Rotation,Layer
C1_2,88.775,-118.425,90.0,top
C1,98.075,-118.925,90.0,top
C10,97.4,-131.83,270.0,top
C11,93.85,-117.375,0.0,top
C12,91.7,-112.875,0.0,top
C14,98.525,-109.525,270.0,top
C15,95.15,-131.25,90.0,top
C16,89.975,-131.75,270.0,top
C3,93.125,-112.495,90.0,top
C4,96.625,-109.925,270.0,top
C5,97.1,-117.22,90.0,top
C6,99.125,-123.975,0.0,top
C7,94.225,-112.52,90.0,top
C8,87.0,-124.175,180.0,top
C9_2,96.475,-131.825,270.0,top
C9,96.175,-117.215,90.0,top
J1,93.5,-99.75,180.0,top
J2,85.0,-121.87,0.0,bottom
J3,102.2,-121.81,180.0,bottom
J4,93.3,-146.0,90.0,top
R1,91.5,-106.7,90.0,top
R2,92.5,-106.7,90.0,top
R3,94.8,-106.7,90.0,top
R4,93.7,-106.7,90.0,top
R5,93.675,-128.925,180.0,top
R6,88.7,-112.35,270.0,top
R7,89.7,-112.335,90.0,top
SW1,90.975,-109.6,180.0,top
U1,93.2625,-122.9,90.0,top
U2,91.575,-114.75,0.0,top
U4,97.2,-107.0,90.0,top
Y1,92.575,-131.225,0.0,top
